| 2025-03-08 22:39:32 | INFO  | [main] log4testng.Logger (Logger.java:112) - [TestNG] Time taken by org.testng.internal.ExitCodeListener@173f73e7: 0 ms
| 2025-03-08 22:40:10 | DEBUG | [main] log4testng.Logger (Logger.java:82) - suiteXmlPath: "C:\Users\minae\AppData\Local\Temp\testng-eclipse-1011010599\testng-customsuite.xml"
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 3 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 6 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 15 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [TestNG] Running:
  C:\Users\minae\AppData\Local\Temp\testng-eclipse-1011010599\testng-customsuite.xml

| 2025-03-08 22:40:10 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] DynamicGraphHelper.createDynamicGraph() took 3 ms.
| 2025-03-08 22:40:10 | INFO  | [main] testBase.TestPrep (TestPrep.java:65) - Loading confiugration File and setting up the test
| 2025-03-08 22:40:10 | INFO  | [main] testBase.TestPrep (TestPrep.java:76) - Browser type from config: chrome
| 2025-03-08 22:40:10 | INFO  | [main] testBase.TestPrep (TestPrep.java:33) - Before Test Starts
| 2025-03-08 22:40:17 | INFO  | [main] testBase.TestPrep (TestPrep.java:54) - After each test...
| 2025-03-08 22:40:18 | INFO  | [main] testBase.TestPrep (TestPrep.java:86) - After class...
| 2025-03-08 22:40:18 | INFO  | [main] log4testng.Logger (Logger.java:112) - [TestNG] Time taken by org.testng.reporters.jq.Main@53dad875: 43 ms
| 2025-03-08 22:40:18 | INFO  | [main] log4testng.Logger (Logger.java:112) - [TestNG] Time taken by org.testng.reporters.FailedReporter@5f780a86: 0 ms
| 2025-03-08 22:40:18 | INFO  | [main] log4testng.Logger (Logger.java:112) - [TestNG] Time taken by org.testng.reporters.XMLReporter@45d64d27: 7 ms
| 2025-03-08 22:40:18 | INFO  | [main] log4testng.Logger (Logger.java:112) - [TestNG] Time taken by org.testng.reporters.EmailableReporter2@6940f685: 6 ms
| 2025-03-08 22:40:18 | INFO  | [main] log4testng.Logger (Logger.java:112) - [TestNG] Time taken by org.testng.reporters.JUnitReportReporter@46d567cb: 4 ms
| 2025-03-08 22:40:18 | INFO  | [main] log4testng.Logger (Logger.java:112) - [TestNG] Time taken by org.testng.internal.ExitCodeListener@363a3d15: 0 ms
| 2025-03-08 22:43:54 | DEBUG | [main] log4testng.Logger (Logger.java:82) - suiteXmlPath: "C:\Users\minae\AppData\Local\Temp\testng-eclipse--1640280098\testng-customsuite.xml"
| 2025-03-08 22:43:54 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
| 2025-03-08 22:43:54 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 2 ms.
| 2025-03-08 22:43:54 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:43:54 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:43:54 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:43:54 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
| 2025-03-08 22:43:54 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
| 2025-03-08 22:43:54 | INFO  | [main] log4testng.Logger (Logger.java:112) - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
